bill_id,x,y
HR8559-117,-0.5671549630187331,-0.2927447177863478
HR856-117,-0.4999925158517163,-0.18740611835386384
HR8560-117,-0.563287926864204,-0.29049941445274097
HR8561-117,-0.22098721451039224,0.253763615578805
HR8562-117,-0.5636288121261184,-0.29106192809375636
HR8563-117,-0.09435169860617366,0.4530549409400043
HR8564-117,-0.5884280068499924,-0.32800763450436027
HR8565-117,-0.503023926862356,-0.18591381411030944
HR8566-117,-0.5883841201031549,-0.3258486533942178
HR8567-117,-0.5897239211797519,-0.32451821962805477
HR8568-117,-0.35162055457837105,0.053372425458919
HR8569-117,-0.5845819438515863,-0.3237947137934863
HR857-117,-0.5627847423554675,-0.28972684585019515
HR8570-117,-0.4361813390913496,-0.0881438398401331
HR8571-117,-0.5854117448043403,-0.32187923482716035
HR8572-117,-0.5882722881193673,-0.3258964732634792
HR8573-117,0.2891537902013334,1.062587204168194
HR8574-117,-0.5419248076043021,-0.25593670818605074
HR8575-117,-0.5456897175019083,-0.25992657513463097
HR8576-117,-0.5445671179598426,-0.2568064961611373
HR8577-117,-0.5658111218151763,-0.29309853699404137
HR8578-117,-0.5436279079861773,-0.2573352935894679
HR8579-117,-0.5450531343496202,-0.25377472092069664
HR858-117,-0.3932540330469133,-0.01723369765611141
HR8580-117,-0.3945652604810795,-0.012774088330602439
HR8581-117,0.8438252345881988,1.9457830393457212
HR8582-117,-0.417870634401375,-0.0522559415011036
HR8583-117,-0.52298798506179,-0.22514686493650898
HR8584-117,-0.4784625137534393,-0.14817966239258282
HR8585-117,0.9512433333713594,2.1125044626143192
HR8586-117,-0.5008422320499385,-0.1857011480398339
HR8587-117,-0.5876340324261656,-0.3207471624982761
HR8588-117,-0.5663479293641717,-0.2848085099455311
HR8589-117,-0.520891015509741,-0.2249737272316764
HR859-117,0.2483884651974769,0.9903877097394987
HR8590-117,-0.5465315607157544,-0.25662734120788805
HR8591-117,-0.586931052912191,-0.322112635395815
HR8592-117,-0.5871041241900613,-0.323582490222578
HR8593-117,-0.4790156529422441,-0.15963602643376457
HR8594-117,0.2871956935553381,1.068383598302752
HR8595-117,-0.4782437676862592,-0.15946391757854808
HR8596-117,-0.43890639418946725,-0.09087411547740915
HR8597-117,-0.33101075602298113,0.08809372491205705
HR8598-117,-0.5234823231412002,-0.22388942725788197
HR8599-117,-0.5892531751350072,-0.3259275155193322
HR86-117,-0.4559985560963088,-0.11806916575773105
HR860-117,-0.3091458854659184,0.1242613402397786
HR8600-117,-0.32904166949590535,0.08756151482433312
HR8601-117,-0.5439109535410667,-0.25898934031865634
HR8602-117,-0.5873552856455941,-0.3174411067860885
HR8603-117,-0.5860405935895497,-0.32838994064003235
HR8604-117,-0.5872614128240599,-0.3238814028701961
HR8605-117,-0.07410909978782974,0.48999695672277777
HR8606-117,-0.5860452968207988,-0.3256311220156335
HR8607-117,-0.5890450794762004,-0.33172280219427436
HR8608-117,-0.5877142190817332,-0.32044710359428535
HR8609-117,-0.4983863364657964,-0.18881562581607841
HR861-117,-0.2643562020356193,0.18187196295414687
HR8610-117,-0.49795965188399477,-0.18740631245611805
HR8611-117,-0.45910090079326743,-0.12433050636457868
HR8612-117,-0.39234788465868575,-0.015384894807851964
HR8613-117,-0.5430003513622774,-0.2552256859143562
HR8614-117,0.20540439717217582,0.9249423929307654
HR8615-117,-0.5868947926215411,-0.32368398221333944
HR8616-117,1.570337822142772,3.088953983255764
HR8617-117,-0.5647147935915646,-0.2942189254172441
HR8618-117,-0.20052654775851847,0.28729239750935415
HR8619-117,-0.20249448959556934,0.2887952203606572
HR862-117,-0.37385592676843055,0.011418255146610328
HR8620-117,-0.5240676416433726,-0.22008178546333007
HR8621-117,-0.5451896160207346,-0.2556605362304952
HR8622-117,0.5254074573176263,1.4345727486258757
HR8623-117,-0.584595900777266,-0.3259449855167685
HR8624-117,-0.459734607611917,-0.1199577952844183
HR8625-117,-0.5667621769927734,-0.28921611463587954
HR8626-117,-0.5644321306148148,-0.2855365732667682
HR8627-117,-0.5870446076659296,-0.3247511122696508
HR8628-117,-0.5655307818252192,-0.2892349094721655
HR8629-117,-0.565255820632507,-0.2854970828103323
HR863-117,-0.4556152190429023,-0.11496227060348252
HR8630-117,-0.5431434028358412,-0.2545438676861388
HR8631-117,-0.1582020197573202,0.34824071531623224
HR8632-117,-0.28752416180711776,0.15062529386272294
HR8633-117,-0.587696884424674,-0.32874334960249574
HR8634-117,-0.5250484034117608,-0.22649963219300173
HR8635-117,-0.5024327893345887,-0.1867932847651052
HR8636-117,-0.5860127921112803,-0.32561139051710825
HR8637-117,-0.13704464163413296,0.38734549398543683
HR8638-117,-0.5857867537149027,-0.3203530174475886
HR8639-117,-0.5459443988832303,-0.2584969580902772
HR864-117,-0.05291891154401278,0.5287407489788006
HR8640-117,-0.5427080267062531,-0.26105915337711916
HR8641-117,-0.5231532263759358,-0.21992500502949447
HR8642-117,-0.478496303664092,-0.15509885692275507
HR8643-117,-0.4606170661264509,-0.12291629935814444
HR8644-117,-0.4779065472946155,-0.15856997691860938
HR8645-117,-0.45791528669158654,-0.11927550781002574
HR8646-117,-0.5642407745317345,-0.2940591071828614
HR8647-117,-0.5854117448043403,-0.32187923482716035
HR8648-117,-0.5869807567822094,-0.32057644499546
HR8649-117,-0.502195300598931,-0.1910327355507488
HR865-117,-0.5223353997006382,-0.21617817907020498
HR8650-117,-0.5219749267421833,-0.21354319787920095
HR8651-117,-0.562562882476772,-0.2876271078183218
HR8652-117,-0.5851287742343133,-0.3264304684678637
HR8653-117,-0.11821385674395433,0.41749311815416074
HR8654-117,0.3743699187662114,1.1999316637858084
HR8655-117,-0.33208734176669014,0.08301919717943347
HR8656-117,2.018917842242907,3.8065030205482353
HR8657-117,-0.5220076451360908,-0.21994530849467692
HR8658-117,-0.18097943526257418,0.31590306105116267
HR8659-117,-0.1580150608834056,0.3559863955025339
HR866-117,-0.43641224556801816,-0.08673265614470674
HR8660-117,-0.5449446709873988,-0.25752332092844277
HR8661-117,-0.5868180157670622,-0.3219855286204128
HR8662-117,-0.5840524003626859,-0.3245808739192763
HR8663-117,-0.5845409000668074,-0.3274508536908095
HR8664-117,-0.58466687079524,-0.32393366229647136
HR8665-117,-0.4566285872568954,-0.11504186399934058
HR8666-117,-0.4567681523237822,-0.126096960210971
HR8667-117,-0.3947914254088554,-0.016376921293206146
HR8668-117,-0.5870652451735124,-0.3250250714539314
HR8669-117,-0.5898312074858099,-0.32262583987335974
HR867-117,-0.48228469439140903,-0.15978665848113666
HR8670-117,-0.5870279453671551,-0.32358487618700205
HR8671-117,-0.5681659799926891,-0.2856795930869304
HR8672-117,-0.5214858112755043,-0.2195647978433739
HR8673-117,-0.5881493951566348,-0.3227743749361115
HR8674-117,-0.5889550318599904,-0.3281304192400249
HR8675-117,-0.5892830054387789,-0.32333618125804736
HR8676-117,-0.5660191797313942,-0.29280074252474214
HR8677-117,-0.5892669053157348,-0.32386852491391177
HR8678-117,-0.5869473624120366,-0.32653375897711945
HR8679-117,-0.5225709486810161,-0.22493019772019363
HR868-117,-0.5665552311381101,-0.2859281463067807
HR8680-117,-0.5021398327965939,-0.18272556856909805
HR8681-117,0.24594725554467803,1.0001702224115128
HR8682-117,-0.5673343499304718,-0.29894520929840235
HR8683-117,-0.5433320663355803,-0.25940800011735055
HR8684-117,-0.5644215005871134,-0.28692703489244054
HR8685-117,2.511715169652857,4.583421480492084
HR8686-117,-0.3955080162774351,-0.015632764202015512
HR8687-117,-0.39532627183716385,-0.01444871135435591
HR8688-117,-0.4829557627477864,-0.15968608582380164
HR8689-117,-0.500442777113342,-0.19261916504880477
HR869-117,3.2344073463937044,5.725549094196152
HR8690-117,-0.5860671570035907,-0.3186862431550379
HR8691-117,-0.5015258058556615,-0.18348007732436933
HR8692-117,-0.5653793760971524,-0.28568113259079
HR8693-117,-0.0542200688954954,0.5244850867045355
HR8694-117,-0.5870214090268683,-0.3239467682708085
HR8695-117,-0.43673697130224004,-0.08474231414917718
HR8696-117,-0.5654733911589875,-0.288397232360962
HR8697-117,-0.5658226328604868,-0.2919516255829437
HR8698-117,-0.47961203183687,-0.15298190935528097
HR8699-117,-0.32978901584635373,0.08410270964227871
HR87-117,-0.09450273512178672,0.4576565346404636
HR870-117,-0.4163100415485038,-0.05246857007822145
HR8700-117,-0.5459132475382656,-0.25548582619767585
HR8701-117,-0.5027776698259784,-0.18443028821929286
HR8702-117,0.37552624553579234,1.2062304041265564
HR8703-117,-0.2649884243591562,0.17950847612336007
HR8704-117,-0.5644465087627706,-0.282595903920937
HR8705-117,-0.5223815857237324,-0.2206480622250212
HR8706-117,-0.5670957635251966,-0.2924906714521416
HR8707-117,-0.4822812089885309,-0.1581938489200632
HR8708-117,0.2042897166643102,0.9267703365597528
HR8709-117,-0.5201266684505166,-0.21781487955096335
HR871-117,-0.5892106998008092,-0.3183004029872796
HR8710-117,-0.4554478988182664,-0.11931740976381996
HR8711-117,-0.47894487863653945,-0.15850802000292222
HR8712-117,-0.5638935323134379,-0.2884163631350539
HR8713-117,-0.5842373256920512,-0.3208186820011456
HR8714-117,-0.5848666389140016,-0.31919451369208396
HR8715-117,-0.5877001428690439,-0.32650664035988947
HR8716-117,-0.564280715243937,-0.28396637040037465
HR8717-117,-0.5455060817084527,-0.2529572047147353
HR8718-117,-0.5421690463381383,-0.2553239416852985
HR8719-117,-0.35100325914971336,0.046372313649370035
HR872-117,-0.32989526913765427,0.08098294065477146
HR8720-117,-0.586366444758986,-0.32274107250823203
HR8721-117,-0.5862412647368925,-0.322646006067341
HR8722-117,-0.5665939923597729,-0.28976134775822987
HR8723-117,-0.5654334729029057,-0.29165606773422503
HR8724-117,-0.2439456677497719,0.22048780145268654
HR8725-117,-0.37385293384115964,0.015334803547798861
HR8726-117,-0.5854746399655117,-0.3228910934162623
HR8727-117,-0.3107240029832957,0.11099517560869171
HR8728-117,-0.565191112849806,-0.2915629866940457
